GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1FB,A,Wydział Anglistyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,25,6,24%,1 460 898 zł,89,16 415 zł
HS1FB,A,Wydział Polonistyki,Uniwersytet Warszawski,53,12,23%,2 300 740 zł,"162,1",14 193 zł
HS1FB,A+,Wydział Polonistyki,Uniwersytet Jagielloński,61,10,16%,1 253 199 zł,145,8 643 zł
HS1FB,A,Wydział Lingwistyki Stosowanej,Uniwersytet Warszawski,23,2,9%,828 900 zł,117,7 085 zł
HS1FB,A,Wydział Orientalistyczny,Uniwersytet Warszawski,21,2,10%,513 955 zł,80,6 424 zł
HS1FB,A,Wydział Filologiczny,Uniwersytet Śląski w Katowicach,22,5,23%,1 676 571 zł,"374,5",4 477 zł
HS1FB,B,Wydział Neofilologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,28,4,14%,968 212 zł,"245,5",3 944 zł
HS1FB,B,Instytut Anglistyki,Społeczna Akademia Nauk,2,1,50%,203 978 zł,53,3 849 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Szczeciński,10,2,20%,461 520 zł,129,3 578 zł
HS1FB,A,Wydział Filologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,14,2,14%,358 333 zł,129,2 778 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Jagielloński,26,6,23%,631 051 zł,"237,36",2 659 zł
HS1FB,A+,Wydział Filologii Polskiej i Klasycznej,Uniwersytet im. Adama Mickiewicza w Poznaniu,28,5,18%,555 846 zł,217,2 562 zł
HS1FB,B,Wydział Filologiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",16,1,6%,371 610 zł,175,2 123 zł
HS1FB,B,Wydział Humanistyczny,Uniwersytet Marii Curie-Skłodowskiej,19,3,16%,669 770 zł,360,1 860 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Łódzki,25,1,4%,436 900 zł,297,1 471 zł
HS1FB,A,Wydział „Artes Liberales”,Uniwersytet Warszawski,14,1,7%,67 340 zł,"46,3",1 454 zł
HS1FB,B,Wydział Nauk Humanistycznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",7,1,14%,70 200 zł,65,1 080 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet w Białymstoku,8,1,13%,100 620 zł,"94,5",1 065 zł
HS1FB,B,Wydział Nauk Humanistycznych,Katolicki Uniwersytet Lubelski Jana Pawła II,18,2,11%,133 248 zł,258,516 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Gdański,12,1,8%,99 480 zł,241,413 zł
HS1FB,B,Wydział Humanistyczno-Społeczny,"Akademia Techniczno-Humanistyczna w Bielsku-Białej",1,0,0%,0 zł,"57,5",0 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Opolski,3,0,0%,0 zł,113,0 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Rzeszowski,4,0,0%,0 zł,112,0 zł
HS1FB,B,Wydział Neofilologii,Uniwersytet Warszawski,9,0,0%,0 zł,"166,25",0 zł
HS1FB,B,Wydział Humanistyczny,Uniwersytet Warmińsko-Mazurski w Olsztynie,17,0,0%,0 zł,177,0 zł
HS1FB,B,Wydział Kulturoznawstwa i Filologii,Uniwersytet SWPS,12,1,8%,828 230 zł,BRAK DANYCH,BRAK DANYCH
HS1FT,A+,Wydział Humanistyczny,Uniwersytet Mikołaja Kopernika w Toruniu,29,6,21%,899 340 zł,"63,5",14 163 zł
HS1FT,A,Wydział Teologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,1,1,100%,332 020 zł,"31,5",10 540 zł
HS1FT,A,Wydział Filozoficzny,Uniwersytet Papieski Jana Pawła II w Krakowie,7,1,14%,143 260 zł,28,5 116 zł
HS1FT,A,Wydział Filozofii,Katolicki Uniwersytet Lubelski Jana Pawła II,16,4,25%,289 292 zł,"78,75",3 674 zł
