GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1FB,B,Wydział Filologiczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",13,0,0%,0 zł,175,0 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Rzeszowski,2,0,0%,0 zł,112,0 zł
HS1FB,B,Wydział Humanistyczno-Społeczny,Akademia Techniczno-Humanistyczna w Bielsku-Białej,4,0,0%,0 zł,"57,5",0 zł
HS1FB,B,Wydział Kulturoznawstwa i Filologii,Uniwersytet SWPS,10,3,30%,1 351 638 zł,BRAK DANYCH,BRAK DANYCH
HS2FB,A+,"",Instytut Badań Literackich PAN,24,9,38%,2 705 106 zł,"101,5",26 651 zł
HS2FB,A,"",Instytut Slawistyki PAN,6,3,50%,778 818 zł,"64,16",12 139 zł
HS2FB,A,"",Instytut Języka Polskiego PAN,18,0,0%,0 zł,76,0 zł
HS1HS,A+,Wydział Historyczny,Uniwersytet Warszawski,89,35,39%,9 003 699 zł,267,33 722 zł
HS1HS,B,"Centrum Archeologii Śródziemnomorskiej im. prof. Kazimierza Michałowskiego",Uniwersytet Warszawski,6,1,17%,417 700 zł,14,29 836 zł
HS1HS,A+,Wydział Historyczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,41,14,34%,3 255 505 zł,"211,95",15 360 zł
HS1HS,A,Wydział Historyczny,Uniwersytet Jagielloński,50,14,28%,2 462 345 zł,173,14 233 zł
HS1HS,A+,Wydział Nauk Historycznych i Pedagogicznych,Uniwersytet Wrocławski,37,9,24%,2 065 338 zł,248,8 328 zł
HS1HS,B,Wydział Humanistyczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",29,6,21%,837 040 zł,123,6 805 zł
HS1HS,B,Wydział Socjologiczno-Historyczny,Uniwersytet Rzeszowski,13,4,31%,740 880 zł,123,6 023 zł
HS1HS,A,Wydział Nauk Historycznych,Uniwersytet Mikołaja Kopernika w Toruniu,28,4,14%,601 169 zł,125,4 809 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Zielonogórski,21,4,19%,585 910 zł,149,3 932 zł
HS1HS,A,Wydział Historyczno-Socjologiczny,Uniwersytet w Białymstoku,15,1,7%,285 000 zł,"82,5",3 455 zł
HS1HS,B,Wydział Filozoficzno-Historyczny,Uniwersytet Łódzki,19,3,16%,351 640 zł,"130,5",2 695 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Kazimierza Wielkiego,3,2,67%,252 850 zł,154,1 642 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Szczeciński,18,3,17%,238 430 zł,"199,5",1 195 zł
