GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
SI1IM,B,Wydział Inżynierii Metali i Informatyki Przemysłowej,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",49,9,18%,4 070 554 zł,165,24 670 zł
SI1IM,B,Wydział Technologii i Inżynierii Chemicznej,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",16,3,19%,1 104 192 zł,77,14 340 zł
SI1IM,B,Wydział Inżynierii Materiałowej i Metalurgii,Politechnika Śląska,15,2,13%,1 381 279 zł,99,13 952 zł
SI1IM,B,Wydział Odlewnictwa,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",15,2,13%,948 390 zł,75,12 645 zł
SI1IM,B,Wydział Inżynierii i Technologii Chemicznej,Politechnika Krakowska im. Tadeusza Kościuszki,13,2,15%,1 314 125 zł,113,11 629 zł
SI1IM,B,Wydział Inżynierii Produkcji i Technologii Materiałów,Politechnika Częstochowska,9,1,11%,581 552 zł,103,5 646 zł
SI1IM,B,Wydział Informatyki i Nauki o Materiałach,Uniwersytet Śląski w Katowicach,17,1,6%,461 970 zł,109,4 238 zł
SI1IM,B,Wydział Chemiczny,Politechnika Rzeszowska im. Ignacego Łukasiewicza,3,1,33%,208 000 zł,95,2 189 zł
SI1IM,B,Wydział Inżynierii Środowiska i Biotechnologii,Politechnika Częstochowska,6,2,33%,150 000 zł,72,2 083 zł
SI1IM,B,"Wydział Inżynierii Środowiska, Geomatyki i Energetyki",Politechnika Świętokrzyska,3,0,0%,0 zł,45,0 zł
SI1IM,B,"Wydział Materiałoznawstwa, Technologii i Wzornictwa","Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",4,0,0%,0 zł,25,0 zł
SI1IM,B,Wydział Nauk o Materiałach i Środowisku,Akademia Techniczno-Humanistyczna w Bielsku-Białej,3,0,0%,0 zł,55,0 zł
SI1IM,B,Wydział Inżynierii Środowiska,Politechnika Lubelska,3,0,0%,0 zł,34,0 zł
SI2IM,A,"","Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego PAN",23,10,43%,3 111 402 zł,"61,75",50 387 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Łódzka,39,9,23%,6 967 724 zł,184,37 868 zł
SI1MH,A,Wydział Mechatroniki,Politechnika Warszawska,15,5,33%,1 847 507 zł,"92,54",19 964 zł
SI1MH,A,Wydział Mechaniczny Technologiczny,Politechnika Śląska,40,5,13%,3 771 235 zł,"203,95",18 491 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Lubelska,16,2,13%,1 221 200 zł,129,9 467 zł
SI1MH,A,Wydział Budowy Maszyn i Zarządzania,Politechnika Poznańska,14,5,36%,1 219 094 zł,"144,35",8 445 zł
SI1MH,B,Wydział Inżynierii Mechanicznej i Informatyki,Politechnika Częstochowska,23,3,13%,1 218 560 zł,162,7 522 zł
SI1MH,B,Wydział Mechaniczny,Akademia Morska w Gdyni,4,1,25%,479 720 zł,64,7 496 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Wrocławska,20,2,10%,1 603 220 zł,"250,31",6 405 zł
SI1MH,B,Wydział Mechaniczny,Politechnika Gdańska,6,1,17%,317 590 zł,"72,58",4 376 zł
SI1MH,B,Wydział Mechaniczno-Energetyczny,Politechnika Wrocławska,6,1,17%,397 200 zł,93,4 271 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Białostocka,16,1,6%,317 300 zł,87,3 647 zł
SI1MH,B,Wydział Inżynierii Produkcji,Politechnika Warszawska,5,1,20%,292 000 zł,"107,6",2 714 zł
SI1MH,B,Wydział Mechaniczny,Politechnika Krakowska im. Tadeusza Kościuszki,10,2,20%,630 087 zł,"278,5",2 262 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Opolska,6,2,33%,152 792 zł,"81,15",1 883 zł
SI1MH,B,Wydział Budowy Maszyn i Lotnictwa,Politechnika Rzeszowska im. Ignacego Łukasiewicza,11,2,18%,299 500 zł,200,1 498 zł
SI1MH,A,Instytut Technologii i Edukacji,Politechnika Koszalińska,5,1,20%,62 448 zł,57,1 096 zł
SI1MH,A,Wydział Inżynierii Mechanicznej i Robotyki,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",21,0,0%,0 zł,"219,83",0 zł
SI1MH,A,Wydział Inżynierii Biomedycznej,Politechnika Śląska,5,0,0%,0 zł,43,0 zł
SI1MH,B,Wydział Zarządzania i Modelowania Komputerowego,Politechnika Świętokrzyska,1,0,0%,0 zł,47,0 zł
SI1MH,A,Wydział Inżynierii Mechanicznej i Mechatroniki,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",3,0,0%,0 zł,"99,05",0 zł
SI1MH,B,Wydział Mechaniczny,Politechnika Koszalińska,5,0,0%,0 zł,92,0 zł
SI1MH,B,Wydział Inżynierii Mechanicznej,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",5,0,0%,0 zł,88,0 zł
SI1MH,B,Wydział Mechaniczny,Uniwersytet Zielonogórski,3,0,0%,0 zł,63,0 zł
SI1MH,B,Wydział Mechaniczno-Elektryczny,"Akademia Marynarki Wojennej im. Bohaterów Westerplatte",5,0,0%,0 zł,49,0 zł
SI1MH,B,Wydział Budowy Maszyn i Informatyki,Akademia Techniczno-Humanistyczna w Bielsku-Białej,1,0,0%,0 zł,78,0 zł
SI1MH,B,Wydział Techniki Morskiej i Transportu,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",2,0,0%,0 zł,"36,5",0 zł
SI1MH,B,Wydział Oceanotechniki i Okrętownictwa,Politechnika Gdańska,2,0,0%,0 zł,73,0 zł
SI1MH,B,Wydział Mechatroniki i Lotnictwa,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",1,0,0%,0 zł,"82,43",0 zł
SI1MH,B,Wydział Samochodów i Maszyn Roboczych,Politechnika Warszawska,4,0,0%,0 zł,"111,03",0 zł
SI1MH,B,Wydział Podstaw Techniki,Politechnika Lubelska,2,0,0%,0 zł,26,0 zł
SI1MH,B,Wydział Mechaniczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",1,0,0%,0 zł,91,0 zł
SI1MH,B,Wydział Lotnictwa,Wyższa Szkoła Oficerska Sił Powietrznych,1,0,0%,0 zł,40,0 zł
SI2MH,A+,"",Instytut Podstawowych Problemów Techniki PAN,30,10,33%,4 597 704 zł,147,31 277 zł
SI2MH,A,"","Instytut Maszyn Przepływowych im. Roberta Szewalskiego PAN",18,6,33%,2 418 749 zł,121,19 990 zł
SI1MI,A+,"Wydział Matematyki, Informatyki i Mechaniki",Uniwersytet Warszawski,47,29,62%,9 770 438 zł,"171,5",56 970 zł
SI1MI,A+,Wydział Matematyki i Informatyki,Uniwersytet Jagielloński,54,11,20%,5 165 306 zł,103,50 149 zł
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet Wrocławski,20,15,75%,3 889 755 zł,97,40 101 zł
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,14,9,64%,2 712 380 zł,"104,3",26 006 zł
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet Mikołaja Kopernika w Toruniu,13,6,46%,1 607 960 zł,"62,5",25 727 zł
SI1MI,A,"Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej",Politechnika Łódzka,12,4,33%,1 825 616 zł,88,20 746 zł
SI1MI,A,Wydział Matematyki i Nauk Informacyjnych,Politechnika Warszawska,10,4,40%,1 296 930 zł,69,18 796 zł
SI1MI,A,"Wydział Matematyki, Informatyki i Ekonometrii",Uniwersytet Zielonogórski,6,2,33%,354 906 zł,45,7 887 zł
SI1MI,A,Wydział Matematyki i Fizyki Stosowanej,Politechnika Rzeszowska im. Ignacego Łukasiewicza,4,1,25%,382 200 zł,53,7 211 zł
SI1MI,B,Wydział Matematyki i Informatyki,Uniwersytet Łódzki,7,2,29%,310 170 zł,73,4 249 zł
SI1MI,B,Wydział Matematyki Stosowanej,Politechnika Śląska,2,1,50%,70 000 zł,36,1 944 zł
SI1MI,A,Wydział Matematyki Stosowanej,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",11,1,9%,120 000 zł,64,1 875 zł
SI1MI,C,Wydział Matematyki i Informatyki,Uniwersytet w Białymstoku,2,1,50%,98 340 zł,57,1 725 zł
SI1MI,C,"Wydział Matematyki, Informatyki i Architektury Krajobrazu",Katolicki Uniwersytet Lubelski Jana Pawła II,5,0,0%,0 zł,53,0 zł
SI1MI,B,Wydział Matematyczno-Fizyczno-Techniczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",14,0,0%,0 zł,106,0 zł
SI1MI,B,Wydział Matematyki i Informatyki,Uniwersytet Warmińsko-Mazurski w Olsztynie,4,0,0%,0 zł,67,0 zł
SI2MI,A+,"",Instytut Matematyczny PAN,28,17,61%,9 080 460 zł,"81,25",111 760 zł
SI3EI,B,"",Instytut Napędów i Maszyn Elektrycznych KOMEL,4,1,25%,789 500 zł,"18,9",41 772 zł
SI3EI,A+,"",Instytut Technologii Elektronowej,20,3,15%,1 498 380 zł,"118,7",12 623 zł
SI3EI,B,"",Instytut Elektrotechniki,8,2,25%,174 900 zł,"177,1",988 zł
SI3EI,A,"",Przemysłowy Instytut Automatyki i Pomiarów PIAP,2,1,50%,49 990 zł,"115,2",434 zł
SI3EI,B,"",Instytut Łączności - Państwowy Instytut Badawczy,1,0,0%,0 zł,"125,6",0 zł
SI3EI,B,"",Instytut Maszyn Matematycznych,2,0,0%,0 zł,"20,25",0 zł
SI3EI,B,"",Instytut Optyki Stosowanej,2,0,0%,0 zł,"21,46",0 zł
SI3EI,B,"",Instytut Techniki i Aparatury Medycznej ITAM,5,0,0%,0 zł,"19,63",0 zł
SI3EI,A,"",Instytut Tele- i Radiotechniczny,2,0,0%,0 zł,"104,4",0 zł
SI3EI,B,"","Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego",1,0,0%,0 zł,71,0 zł
SI3IO,B,"",Instytut Geodezji i Kartografii,3,0,0%,0 zł,"41,87",0 zł
SI3IO,A,"",Instytut Badawczy Dróg i Mostów,2,0,0%,0 zł,103,0 zł
SI3IO,B,"",Instytut Ceramiki i Materiałów Budowlanych,5,0,0%,0 zł,"181,85",0 zł
SI3IO,B,"",Instytut Gospodarki Przestrzennej i Mieszkalnictwa,1,0,0%,0 zł,"26,1",0 zł
SI3IO,B,"","Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy",11,0,0%,0 zł,51,0 zł
SI3IO,B,"",Instytut Rozwoju Miast,6,0,0%,0 zł,"33,3",0 zł
SI3MU,B,"",Instytut Mechaniki Precyzyjnej,3,0,0%,0 zł,"89,1",0 zł
SI3MU,B,"",Instytut Obróbki Plastycznej,2,0,0%,0 zł,"56,25",0 zł
SI3MU,A,"",Instytut Techniczny Wojsk Lotniczych,3,0,0%,0 zł,340,0 zł
SI3MU,A,"","Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy",2,0,0%,0 zł,96,0 zł
SI3MU,B,"",Instytut Zaawansowanych Technologii Wytwarzania,1,0,0%,0 zł,65,0 zł
SI3MU,B,"",Przemysłowy Instytut Maszyn Rolniczych,1,0,0%,0 zł,"76,35",0 zł
SI3MU,B,"",Wojskowy Instytut Techniki Pancernej i Samochodowej,2,0,0%,0 zł,"33,75",0 zł
SI3TB,A,"",Instytut Transportu Samochodowego,2,1,50%,145 600 zł,65,2 240 zł
SI3TB,A,"",Ośrodek Przetwarzania Informacji,5,1,20%,134 175 zł,"69,35",1 935 zł
SI3TB,B,"",Centralne Laboratorium Ochrony Radiologicznej,1,0,0%,0 zł,"18,43",0 zł
SI3TB,A,"",Instytut Lotnictwa,4,0,0%,0 zł,"936,3",0 zł
SI3TB,B,"",Wojskowy Instytut Chemii i Radiometrii,1,0,0%,0 zł,"46,05",0 zł
SI3TM,A,"",Instytut Odlewnictwa,12,3,25%,1 613 150 zł,124,13 009 zł
SI4TM,C,"","Fundacja Uniwersytetu im. A. Mickiewicza Poznański Park NaukowoTechnologiczny",1,1,100%,318 660 zł,33,9 656 zł
SI3TM,B,"","Instytut Inżynierii Materiałów Polimerowych i Barwników",4,1,25%,460 000 zł,55,8 364 zł
SI3TM,B,"","Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego",5,1,20%,1 118 800 zł,"144,05",7 767 zł
SI3TM,B,"",Instytut Metali Nieżelaznych,11,5,45%,1 375 680 zł,214,6 428 zł
SI3TM,A,"",Instytut Nawozów Sztucznych,2,0,0%,0 zł,42,0 zł
SI3TM,B,"",CORBO - Instytut Badawczy Opakowań,1,0,0%,0 zł,28,0 zł
SI3TM,A,"","Instytut Ciężkiej Syntezy Organicznej ""Blachownia""",2,0,0%,0 zł,"105,55",0 zł
SI3TM,A,"",Instytut Metalurgii Żelaza im. Stanisława Staszica,5,0,0%,0 zł,"78,8",0 zł
SI3TM,B,"",Instytut Przemysłu Skórzanego,2,0,0%,0 zł,"42,26",0 zł
SI3TM,A,"",Instytut Włókiennictwa,4,0,0%,0 zł,"79,36",0 zł
TA1MZ,B,"Wydział Dyrygentury, Kompozycji i Teorii Muzyki","Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku",1,0,0%,0 zł,24,0 zł
TA1MZ,B,Wydział Wokalno-Aktorski,"Akademia Muzyczna im. Ignacego Jana Paderewskiego wPoznaniu",1,0,0%,0 zł,19,0 zł
TA1MZ,A,"Wydział Dyrygentury Chóralnej, Edukacji Muzycznej i Rytmiki","Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku",1,0,0%,0 zł,37,0 zł
TA1MZ,A+,"Wydział Twórczości, Interpretacji i Edukacji Muzycznej",Akademia Muzyczna w Krakowie,1,0,0%,0 zł,47,0 zł
TA1MZ,B,Wydział Instrumentalny,Akademia Muzyczna w Krakowie,1,0,0%,0 zł,"84,75",0 zł
TA1PK,A+,Wydział Konserwacji i Restauracji Dzieł Sztuki,Akademia Sztuk Pięknych w Warszawie,6,3,50%,1 091 790 zł,56,19 496 zł
TA1PK,A,Wydział Sztuk Pięknych,Uniwersytet Mikołaja Kopernika w Toruniu,1,1,100%,467 500 zł,127,3 681 zł
TA1PK,B,Wydział Konserwacji i Restauracji Dzieł Sztuki,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,3,0,0%,0 zł,35,0 zł
TA1PK,B,Wydział Sztuki,Akademia im. Jana Długosza w Częstochowie,3,0,0%,0 zł,47,0 zł
TA1PK,A,Wydział Pedagogiczny i Artystyczny,Uniwersytet Jana Kochanowskiego w Kielcach,4,0,0%,0 zł,98,0 zł
TA1PK,B,Wydział Grafiki,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,2,0,0%,0 zł,44,0 zł
TA1PK,A,Wydział Intermediów,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,1,0,0%,0 zł,12,0 zł
TA1PK,A,Wydział Pedagogiczno-Artystyczny w Kaliszu,Uniwersytet im. Adama Mickiewicza w Poznaniu,1,0,0%,0 zł,65,0 zł
TA1PK,A,Wydział Artystyczny,Uniwersytet Marii Curie-Skłodowskiej,3,0,0%,0 zł,"100,5",0 zł
TA1PK,A,Wydział Grafiki i Sztuki Mediów,"Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu",3,0,0%,0 zł,"38,1",0 zł
TA1PK,B,Wydział Artystyczny w Cieszynie,Uniwersytet Śląski w Katowicach,1,0,0%,0 zł,101,0 zł
TA1PK,B,Wydział Sztuki,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,0,0%,0 zł,45,0 zł
TA1PK,B,Wydział Malarstwa,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,1,0,0%,0 zł,46,0 zł
TA1PK,B,Wydział Rzeźby,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,1,0,0%,0 zł,28,0 zł
TA1PK,B,Wydział Artystyczny,Uniwersytet Zielonogórski,1,0,0%,0 zł,46,0 zł
TA1PK,A,Wydział Edukacji Artystycznej,Uniwersytet Artystyczny w Poznaniu,1,0,0%,0 zł,19,0 zł
TA1PR,B,Wydział Projektowy,Akademia Sztuk Pięknych w Katowicach,2,0,0%,0 zł,31,0 zł
TA1PR,C,Wydział Architektury i Wzornictwa,Akademia Sztuk Pięknych w Gdańsku,1,0,0%,0 zł,42,0 zł
TA1TF,B,Wydział Radia i Telewizji im. K. Kieślowskiego,Uniwersytet Śląski w Katowicach,1,0,0%,0 zł,25,0 zł
TA1TF,B,Wydział Wiedzy o Teatrze,"Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie",1,0,0%,0 zł,"17,7",0 zł
TA1TF,A,Wydział Operatorski i Realizacji Telewizyjnej,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",1,0,0%,0 zł,74,0 zł
TA1TF,A,Wydział Reżyserii Filmowej i Telewizyjnej,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",2,0,0%,0 zł,57,0 zł
TA1TF,B,Wydział Aktorski,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",1,0,0%,0 zł,36,0 zł
BRAK DANYCH,BRAK DANYCH,Małopolskie Centrum Biotechnologii,Uniwersytet Jagielloński,3,3,100%,7 782 316 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Jagiellońskie Centrum Rozwoju Leków (JCET),Uniwersytet Jagielloński,12,6,50%,2 087 712 zł,4,521 928 zł
BRAK DANYCH,BRAK DANYCH,"Centrum Studiów Niemieckich i Europejskich im. Willy Brandta",Uniwersytet Wrocławski,3,2,67%,332 721 zł,6,55 454 zł
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy w Katowicach,Uniwersytet SWPS,4,1,25%,223 860 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Kultury Europejskiej,Uniwersytet im. Adama Mickiewicza w Poznaniu,11,2,18%,211 478 zł,28,7 553 zł
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu",1,1,100%,162 725 zł,101,1 611 zł
BRAK DANYCH,BRAK DANYCH,Wydział Wychowania Fizycznego,"Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku",1,1,100%,122 866 zł,117,1 050 zł
BRAK DANYCH,BRAK DANYCH,Wydział Biznesu,Akademia Finansów i Biznesu Vistula,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Akademickie Centrum Komputerowe Cyfronet AGH,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Biblioteka Główna,"Akademia Muzyczna im. Ignacego Jana Paderewskiego wPoznaniu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Międzywydziałowy Instytut Nauk o Sztuce,Akademia Sztuk Pięknych w Gdańsku,1,0,0%,0 zł,13,0 zł
BRAK DANYCH,BRAK DANYCH,Instytut Badań Przestrzeni Publicznej,Akademia Sztuk Pięknych w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Zarządzania Sportem i Turystyką,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach",1,0,0%,0 zł,50,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Społecznych,"Dolnośląska Wyższa Szkoła Przedsiębiorczości i Techniki w Polkowicach",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Turystyki i Promocji Zdrowia,"Górnośląska Wyższa Szkoła Handlowa im. W. Korfantego w Katowicach",2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Leksykografii,Katolicki Uniwersytet Lubelski Jana Pawła II,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy,2,0,0%,0 zł,111,0 zł
BRAK DANYCH,BRAK DANYCH,Katedra Ekonomii i Studiów Europejskich,Małopolska Wyższa Szkoła Ekonomiczna w Tarnowie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Inżynierii Technicznej,"Państwowa Wyższa Szkoła Techniczno-Ekonomiczna im. ks. Bronisława Markiewicza w Jarosławiu",2,0,0%,0 zł,83,0 zł
BRAK DANYCH,BRAK DANYCH,Instytut Socjologii,"Państwowa Wyższa Szkoła Wschodnioeuropejska w Przemyślu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu",1,0,0%,0 zł,287,0 zł
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa im. prof. Edwarda F. Szczepanika w Suwałkach",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Państwowa Wyższa Szkoła Zawodowa w Głogowie,1,0,0%,0 zł,63,0 zł
BRAK DANYCH,BRAK DANYCH,"",Państwowa Wyższa Szkoła Zawodowa w Głogowie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim",3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Humanistyczny,Politechnika Koszalińska,5,0,0%,0 zł,14,0 zł
BRAK DANYCH,BRAK DANYCH,Biblioteka Politechniki Łódzkiej,Politechnika Łódzka,1,0,0%,0 zł,4,0 zł
BRAK DANYCH,BRAK DANYCH,"Laboratorium Badań Materiałów dla Przemysłu Lotniczego",Politechnika Rzeszowska im. Ignacego Łukasiewicza,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Biotechnologii,Politechnika Śląska,4,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Studium Nauk Humanistycznych,Politechnika Wrocławska,3,0,0%,0 zł,17,0 zł
BRAK DANYCH,BRAK DANYCH,Ośrodek Badań Europejskich im. Józefa Retingera,Uniwersytet Ekonomiczny w Krakowie,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Centrum Doskonałości dla Zrównoważonego Rozwoju przy Uniwersytecie Ekonomicznym",Uniwersytet Ekonomiczny we Wrocławiu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Zaawansowanych Technologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,0,0%,0 zł,6,0 zł
BRAK DANYCH,BRAK DANYCH,Międzywydziałowa Pracownia Pytań Granicznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,1,0,0%,0 zł,4,0 zł
BRAK DANYCH,BRAK DANYCH,Stacja Ekologiczna  w Jeziorach,Uniwersytet im. Adama Mickiewicza w Poznaniu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Muzeum,Uniwersytet Jagielloński,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Uniwersyteckie Centrum Zdalnego Nauczania i Kursów Otwartych",Uniwersytet Marii Curie-Skłodowskiej,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Wychowania Fizycznego,Uniwersytet Rzeszowski,4,0,0%,0 zł,64,0 zł
BRAK DANYCH,BRAK DANYCH,Katedra Teologii Prawosławnej,Uniwersytet w Białymstoku,1,0,0%,0 zł,3,0 zł
BRAK DANYCH,BRAK DANYCH,Biblioteka Uniwersytecka,Uniwersytet Warszawski,1,0,0%,0 zł,15,0 zł
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Administracji Publicznej im. Stanisława Staszica w Białymstoku",3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Pedagogiki i Nauk o Zdrowiu,"Wyższa Szkoła Biznesu i Przedsiębiorczości w Ostrowcu Świętokrzyskim",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Ekonomiczno-Społeczna w Ostrołęce,1,0,0%,0 zł,13,0 zł
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach",1,0,0%,0 zł,70,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Informatyki i Zarządzania,Wyższa Szkoła Informatyki i Umiejętności w Łodzi,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie",1,0,0%,0 zł,84,0 zł
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Techniczno-Ekonomiczna w Warszawie,1,0,0%,0 zł,10,0 zł
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Turystyki i Języków Obcych,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Zarządzania i Administracji w Opolu,2,0,0%,0 zł,53,0 zł
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Zarządzania i Prawa im. Heleny Chodkowskiej",3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Zachodniopomorska Szkoła Biznesu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy Informatyki w Bytomiu,"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Szczecińska Szkoła Wyższa Collegium Balticum,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wielkopolska Wyższa Szkoła Społeczno-Ekonomiczna w Środzie Wielkopolskiej",1,0,0%,0 zł,43,0 zł
BRAK DANYCH,BRAK DANYCH,"",Zakład Antropologii PAN we Wrocławiu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Zakład Ichtiobiologii i Gospodarki Rybackiej PAN w Gołyszu",2,0,0%,0 zł,2,0 zł
BRAK DANYCH,BRAK DANYCH,"",Wielkopolskie Centrum Onkologii,7,3,43%,1 689 650 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN w Powsinie",3,1,33%,1 340 258 zł,BRAK DANYCH,BRAK DANYCH
