GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
SI1IM,B,"Wydział Inżynierii Środowiska, Geomatyki i Energetyki",Politechnika Świętokrzyska,4,0,0%,0 zł,49,"0,00 zł"
SI1IM,B,Wydział Technologii i Inżynierii Chemicznej,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",4,0,0%,0 zł,75,"0,00 zł"
SI1IM,A,Wydział Technologii Materiałowych i Wzornictwa Tekstyliów,Politechnika Łódzka,8,0,0%,0 zł,"63,56","0,00 zł"
SI1MH,A,Wydział Mechatroniki,Politechnika Warszawska,19,7,37%,1 817 589 zł,"96,13","18 907,61 zł"
SI1MH,B,Wydział Inżynierii Mechanicznej i Informatyki,Politechnika Częstochowska,23,5,22%,2 879 153 zł,166,"17 344,30 zł"
SI1MH,A,Wydział Mechaniczny,Politechnika Łódzka,36,4,11%,2 246 072 zł,162,"13 864,64 zł"
SI1MH,A,Wydział Mechaniczny,Politechnika Lubelska,14,2,14%,1 387 400 zł,131,"10 590,84 zł"
SI1MH,A,Wydział Budowy Maszyn i Zarządzania,Politechnika Poznańska,12,3,25%,950 880 zł,"138,1","6 885,45 zł"
SI1MH,A,Wydział Inżynierii Mechanicznej i Mechatroniki,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,7,3,43%,706 900 zł,"103,45","6 833,25 zł"
SI1MH,A,Wydział Mechatroniki i Budowy Maszyn,Politechnika Świętokrzyska,7,1,14%,550 260 zł,84,"6 550,71 zł"
SI1MH,A,Wydział Mechaniczny Technologiczny,Politechnika Śląska,39,2,5%,1 148 024 zł,211,"5 440,87 zł"
SI1MH,A,Wydział Inżynierii Mechanicznej i Robotyki,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,17,2,12%,974 640 zł,"208,33","4 678,35 zł"
SI1MH,B,Wydział Mechaniczny,Politechnika Krakowska im. Tadeusza Kościuszki,15,3,20%,1 023 160 zł,258,"3 965,74 zł"
SI1MH,A,Wydział Mechaniczny,Politechnika Białostocka,5,2,40%,214 784 zł,98,"2 191,67 zł"
SI1MH,A,Wydział Mechaniczny,Politechnika Wrocławska,18,3,17%,299 600 zł,"260,66","1 149,39 zł"
SI1MH,B,Wydział Mechaniczny,Politechnika Koszalińska,9,1,11%,59 600 zł,"92,66","643,21 zł"
SI1MH,B,Wydział Budowy Maszyn i Informatyki,Akademia Techniczno-Humanistyczna  w Bielsku-Białej,2,0,0%,0 zł,80,"0,00 zł"
SI1MH,A,Wydział Inżynierii Biomedycznej,Politechnika Śląska,4,0,0%,0 zł,44,"0,00 zł"
SI1MH,B,Wydział Inżynierii Mechanicznej,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",3,0,0%,0 zł,"89,5","0,00 zł"
SI1MH,B,Wydział Inżynierii Produkcji,Politechnika Warszawska,5,0,0%,0 zł,113,"0,00 zł"
SI1MH,B,Wydział Lotnictwa,Wyższa Szkoła Oficerska Sił Powietrznych,1,0,0%,0 zł,42,"0,00 zł"
SI1MH,B,Wydział Mechaniczno-Elektryczny,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,2,0,0%,0 zł,"46,75","0,00 zł"
SI1MH,B,Wydział Mechaniczno-Energetyczny,Politechnika Wrocławska,8,0,0%,0 zł,102,"0,00 zł"
SI1MH,A,Wydział Mechaniczny,Akademia Morska w Szczecinie,2,0,0%,0 zł,67,"0,00 zł"
SI1MH,B,Wydział Mechaniczny,Politechnika Gdańska,11,0,0%,0 zł,"70,5","0,00 zł"
SI1MH,A,Wydział Mechaniczny,Politechnika Opolska,7,0,0%,0 zł,"87,65","0,00 zł"
SI1MH,B,Wydział Mechaniczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",1,0,0%,0 zł,92,"0,00 zł"
SI1MH,B,Wydział Mechaniczny,Uniwersytet Zielonogórski,2,0,0%,0 zł,65,"0,00 zł"
SI1MH,A,Wydział Mechaniczny,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,1,0,0%,0 zł,"67,5","0,00 zł"
SI1MH,B,Wydział Mechatroniki i Lotnictwa,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,4,0,0%,0 zł,"81,8","0,00 zł"
SI1MH,B,Wydział Podstaw Techniki,Politechnika Lubelska,1,0,0%,0 zł,27,"0,00 zł"
SI1MH,B,Wydział Samochodów i Maszyn Roboczych,Politechnika Warszawska,2,0,0%,0 zł,111,"0,00 zł"
SI1MH,B,Wydział Techniki Morskiej i Transportu,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,1,0,0%,0 zł,34,"0,00 zł"
SI1MH,A,Wydział Technologii i Edukacji,Politechnika Koszalińska,2,0,0%,0 zł,61,"0,00 zł"
SI1MI,A+,Wydział Matematyki i Informatyki,Uniwersytet Jagielloński,33,10,30%,6 912 186 zł,114,"60 633,21 zł"
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet Wrocławski,27,13,48%,4 866 422 zł,98,"49 657,37 zł"
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,15,7,47%,1 867 685 zł,"97,7","19 116,53 zł"
SI1MI,A,"Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej",Politechnika Łódzka,15,3,20%,1 542 015 zł,89,"17 326,01 zł"
SI1MI,A+,"Wydział Matematyki, Informatyki i Mechaniki",Uniwersytet Warszawski,45,18,40%,2 756 895 zł,"175,41","15 716,86 zł"
SI1MI,A,Wydział Matematyki i Nauk Informacyjnych,Politechnika Warszawska,10,2,20%,645 400 zł,"60,5","10 667,77 zł"
SI1MI,A,Wydział Matematyki Stosowanej,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,10,1,10%,159 000 zł,63,"2 523,81 zł"
SI1MI,A,Wydział Matematyki i Fizyki Stosowanej,Politechnika Rzeszowska im. Ignacego Łukasiewicza,3,0,0%,0 zł,58,"0,00 zł"
SI1MI,B,Wydział Matematyki i Informatyki,Uniwersytet Łódzki,9,0,0%,0 zł,69,"0,00 zł"
SI1MI,C,Wydział Matematyki i Informatyki,Uniwersytet w Białymstoku,1,0,0%,0 zł,55,"0,00 zł"
SI1MI,B,Wydział Matematyki i Informatyki,Uniwersytet Warmińsko-Mazurski w Olsztynie,3,0,0%,0 zł,66,"0,00 zł"
SI1MI,B,Wydział Matematyki Stosowanej,Politechnika Śląska,5,0,0%,0 zł,38,"0,00 zł"
SI1MI,C,"Wydział Matematyki, Informatyki i Architektury Krajobrazu",Katolicki Uniwersytet Lubelski Jana Pawła II,1,0,0%,0 zł,53,"0,00 zł"
SI1MI,A,"Wydział Matematyki, Informatyki i Ekonometrii",Uniwersytet Zielonogórski,2,0,0%,0 zł,44,"0,00 zł"
SI1MI,A,Wydział Matematyki i Informatyki,Uniwersytet Mikołaja Kopernika w Toruniu,7,3,43%,897 090 zł,BRAK DANYCH,BRAK DANYCH
SI2BA,A,"",Instytut Budownictwa Wodnego PAN,3,0,0%,0 zł,"41,5","0,00 zł"
SI2IM,A,"",Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego PAN,29,7,24%,3 070 232 zł,"57,45","53 441,81 zł"
SI2MI,A+,"",Instytut Matematyczny PAN,23,9,39%,4 063 887 zł,"99,58","40 810,27 zł"
SI2IM,B,"",Instytut Inżynierii Chemicznej PAN,2,1,50%,99 000 zł,33,"3 000,00 zł"
SI2CT,A,"",Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera PAN,34,8,24%,6 861 134 zł,"85,83","79 938,65 zł"
SI2CT,A,"",Instytut Chemii Fizycznej PAN,60,26,43%,13 034 430 zł,"204,5","63 738,04 zł"
SI2CT,B,"",Centrum Badań Molekularnych i Makromolekularnych PAN,35,10,29%,6 444 620 zł,"124,32","51 838,96 zł"
SI2CT,A,"",Instytut Chemii Organicznej PAN,24,7,29%,4 664 340 zł,"107,43","43 417,48 zł"
SI2CT,B,"",Centrum Materiałów Polimerowych i Węglowych PAN,12,2,17%,1 489 760 zł,"70,25","21 206,55 zł"
SI2CT,A,"",Instytut Chemii Fizycznej PAN,1,0,0%,0 zł,"204,5","0,00 zł"
SI2EA,A,"",Instytut Podstaw Informatyki PAN,13,6,46%,3 448 580 zł,"47,2","73 063,14 zł"
SI2EA,A,"",Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza PAN,19,3,16%,1 933 670 zł,"68,48","28 237,00 zł"
SI2EA,A,"",Instytut Informatyki Teoretycznej i Stosowanej PAN,10,2,20%,833 904 zł,33,"25 269,82 zł"
SI2EA,A,"",Instytut Badań Systemowych PAN,5,0,0%,0 zł,62,"0,00 zł"
SI2FA,A,"",Instytut Wysokich Ciśnień PAN,26,9,35%,6 095 810 zł,86,"70 881,51 zł"
SI2FA,A,"",Instytut Fizyki PAN,59,16,27%,11 013 964 zł,"247,9","44 429,06 zł"
SI2FA,A+,"",Centrum Astronomiczne im. Mikołaja Kopernika PAN,28,8,29%,2 464 106 zł,"56,15","43 884,35 zł"
SI2FA,A+,"",Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego PAN,78,18,23%,9 396 908 zł,"369,96","25 399,79 zł"
SI2FA,A,"",Centrum Fizyki Teoretycznej PAN,6,1,17%,684 700 zł,28,"24 453,57 zł"
SI2FA,A+,"","Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego PAN",35,4,11%,2 310 298 zł,"105,75","21 846,79 zł"
SI2FA,A,"",Instytut Fizyki Molekularnej PAN,21,2,10%,917 780 zł,"84,5","10 861,30 zł"
SI2GE,A,"",Instytut Gospodarki Surowcami Mineralnymi i Energią PAN,6,0,0%,0 zł,"64,7","0,00 zł"
SI2GE,A,"",Instytut Mechaniki Górotworu PAN,1,0,0%,0 zł,40,"0,00 zł"
SI2MH,A+,"",Instytut Podstawowych Problemów Techniki PAN,48,16,33%,8 888 621 zł,"147,8","60 139,52 zł"
SI2MH,A,"",Instytut Maszyn Przepływowych im. Roberta Szewalskiego PAN,23,5,22%,696 088 zł,121,"5 752,79 zł"
SI3EG,A,"",Instytut Fizyki Plazmy i Laserowej Mikrosyntezy im. Sylwestra Kaliskiego,3,1,33%,968 780 zł,"54,73","17 701,08 zł"
SI3EG,A+,"",Instytut Chemii i Techniki Jądrowej,28,4,14%,1 009 884 zł,"99,05","10 195,70 zł"
SI3EG,A,"",Narodowe Centrum Badań Jądrowych,41,9,22%,2 573 913 zł,"448,4","5 740,22 zł"
SI3EG,A,"",Główny Instytut Górnictwa,4,0,0%,0 zł,"286,9","0,00 zł"
SI3EG,A,"",Instytut Chemicznej Przeróbki Węgla,1,0,0%,0 zł,"90,7","0,00 zł"
SI3EI,A+,"",Instytut Technologii Elektronowej,21,5,24%,2 074 982 zł,"119,3","17 392,98 zł"
SI3EI,B,"",Instytut Elektrotechniki,8,2,25%,967 579 zł,"168,35","5 747,43 zł"
SI3EI,A,"",Instytut Technologii Materiałów Elektronicznych,21,1,5%,526 200 zł,"159,45","3 300,09 zł"
SI3EI,B,"",Instytut Łączności - Państwowy Instytut Badawczy,2,0,0%,0 zł,"135,5","0,00 zł"
SI3EI,B,"",Instytut Maszyn Matematycznych,1,0,0%,0 zł,"19,35","0,00 zł"
SI3EI,B,"",Instytut Napędów i Maszyn Elektrycznych KOMEL,3,0,0%,0 zł,"21,75","0,00 zł"
SI3EI,B,"",Instytut Techniki i Aparatury Medycznej ITAM,1,0,0%,0 zł,"20,8","0,00 zł"
SI3EI,A,"",Instytut Tele- i Radiotechniczny,3,0,0%,0 zł,"134,5","0,00 zł"
SI3EI,A,"",Przemysłowy Instytut Automatyki i Pomiarów PIAP,2,0,0%,0 zł,"117,4","0,00 zł"
SI3IO,A,"",Instytut Badawczy Dróg i Mostów,1,0,0%,0 zł,97,"0,00 zł"
SI3IO,B,"",Instytut Ceramiki i Materiałów Budowlanych,4,0,0%,0 zł,"172,73","0,00 zł"
SI3IO,B,"",Instytut Geodezji i Kartografii,5,0,0%,0 zł,"41,25","0,00 zł"
SI3IO,B,"",Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy,2,0,0%,0 zł,45,"0,00 zł"
SI3IO,B,"",Instytut Techniki Budowlanej,1,0,0%,0 zł,215,"0,00 zł"
SI3MU,B,"",Instytut Mechaniki Precyzyjnej,5,1,20%,904 500 zł,"87,7","10 313,57 zł"
SI3MU,B,"",Instytut Obróbki Plastycznej,3,0,0%,0 zł,"52,45","0,00 zł"
SI3MU,A,"",Instytut Techniczny Wojsk Lotniczych,2,0,0%,0 zł,302,"0,00 zł"
SI3MU,A,"",Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy,1,0,0%,0 zł,"106,9","0,00 zł"
SI3MU,B,"",Instytut Zaawansowanych Technologii Wytwarzania,3,0,0%,0 zł,75,"0,00 zł"
SI3TB,A,"",Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy,2,0,0%,0 zł,104,"0,00 zł"
SI3TB,A,"",Instytut Lotnictwa,3,0,0%,0 zł,924,"0,00 zł"
SI3TB,B,"","Instytut Technologii Bezpieczeństwa ""MORATEX""",1,0,0%,0 zł,"27,77","0,00 zł"
SI3TB,A,"",Instytut Transportu Samochodowego,3,0,0%,0 zł,"59,5","0,00 zł"
SI3TM,A,"",Instytut Odlewnictwa,14,1,7%,592 400 zł,"58,13","10 190,95 zł"
SI3TM,B,"",Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego,2,0,0%,0 zł,"133,6","0,00 zł"
SI3TM,A,"","Instytut Ciężkiej Syntezy Organicznej ""Blachownia""",2,0,0%,0 zł,"100,3","0,00 zł"
SI3TM,B,"",Instytut Inżynierii Materiałów Polimerowych i Barwników,1,0,0%,0 zł,83,"0,00 zł"
SI3TM,B,"",Instytut Metali Nieżelaznych,9,0,0%,0 zł,"213,7","0,00 zł"
SI3TM,B,"",Instytut Przemysłu Organicznego,3,0,0%,0 zł,151,"0,00 zł"
SI3TM,B,"",Instytut Przemysłu Skórzanego,6,0,0%,0 zł,34,"0,00 zł"
SI3TM,A,"",Instytut Włókiennictwa,2,0,0%,0 zł,"77,28","0,00 zł"
TA1MZ,B,Wydział Instrumentalny,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,1,0,0%,0 zł,"51,25","0,00 zł"
TA1MZ,B,Wydział Instrumentalny,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,1,0,0%,0 zł,52,"0,00 zł"
TA1MZ,B,"Wydział Kompozycji, Dyrygentury, Teorii Muzyki i Rytmiki",Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,4,0,0%,0 zł,"32,5","0,00 zł"
TA1MZ,B,"Wydział Kompozycji, Interpretacji, Edukacji i Jazzu",Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,1,0,0%,0 zł,44,"0,00 zł"
TA1MZ,A,"Wydział Kompozycji, Teorii Muzyki, Dyrygentury, Rytmiki i Edukacji Muzycznej",Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,1,0,0%,0 zł,31,"0,00 zł"
TA1MZ,A,"Wydział Kompozycji, Dyrygentury i Teorii Muzyki",Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
TA1PK,A+,Wydział Konserwacji i Restauracji Dzieł Sztuki,Akademia Sztuk Pięknych w Warszawie,7,2,29%,299 990 zł,63,"4 761,75 zł"
TA1PK,B,Wydział Sztuki,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,2,1,50%,127 154 zł,69,"1 842,81 zł"
TA1PK,A,Wydział Pedagogiczny i Artystyczny,Uniwersytet Jana Kochanowskiego w Kielcach,4,1,25%,162 500 zł,104,"1 562,50 zł"
TA1PK,B,Wydział Artystyczny,Uniwersytet Zielonogórski,1,0,0%,0 zł,46,"0,00 zł"
TA1PK,A,Wydział Grafiki i Sztuki Mediów,Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,1,0,0%,0 zł,45,"0,00 zł"
TA1PK,A,Wydział Intermediów,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,2,0,0%,0 zł,14,"0,00 zł"
TA1PK,A,Wydział Malarstwa i Rysunku,Uniwersytet Artystyczny w Poznaniu,1,0,0%,0 zł,51,"0,00 zł"
TA1PK,A,Wydział Rzeźby i Działań Przestrzennych,Uniwersytet Artystyczny w Poznaniu,1,0,0%,0 zł,29,"0,00 zł"
TA1PK,B,Wydział Sztuk Wizualnych,Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi,1,0,0%,0 zł,31,"0,00 zł"
TA1PK,B,Wydział Sztuki,Akademia im. Jana Długosza w Częstochowie,1,0,0%,0 zł,40,"0,00 zł"
TA1PK,B,Wydział Sztuki,Uniwersytet Warmińsko-Mazurski w Olsztynie,1,0,0%,0 zł,43,"0,00 zł"
TA1PK,B,Wydział Zarządzania Kulturą Wizualną,Akademia Sztuk Pięknych w Warszawie,1,0,0%,0 zł,20,"0,00 zł"
TA1PK,A,Wydział Sztuk Pięknych,Uniwersytet Mikołaja Kopernika w Toruniu,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
TA1PR,A,Wydział Ceramiki i Szkła,Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,1,0,0%,0 zł,"45,07","0,00 zł"
TA1TF,B,Wydział Organizacji Sztuki Filmowej,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",1,0,0%,0 zł,16,"0,00 zł"
BRAK DANYCH,BRAK DANYCH,Akademickie Centrum Materiałów i Nanotechnologii,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,26,8,31%,5 871 370 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Małopolskie Centrum Biotechnologii Uniwersytetu Jagiellońskiego",Uniwersytet Jagielloński,13,4,31%,3 676 855 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Nanobiomedyczne,Uniwersytet im. Adama Mickiewicza w Poznaniu,32,5,16%,3 533 659 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Akademia Leona Koźmińskiego,33,7,21%,1 584 768 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Jagiellońskie Centrum Rozwoju Leków (JCET),Uniwersytet Jagielloński,20,3,15%,1 107 292 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Wychowania Fizycznego,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,4,2,50%,1 001 760 zł,39,"25 686,15 zł"
BRAK DANYCH,BRAK DANYCH,Wydział Medyczny,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,5,1,20%,966 584 zł,29,"33 330,48 zł"
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy w Sopocie,SWPS Uniwersytet Humanistycznospołeczny w Warszawie,7,4,57%,839 240 zł,28,"29 972,86 zł"
BRAK DANYCH,BRAK DANYCH,"Międzynarodowe Centrum Mikroskopii Elektronowej dla Inżynierii Materiałowej przy Wydziale Inżynierii Metali i Informatyki Przemysłowej",Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,1,1,100%,837 740 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Medycyny Weterynaryjnej i Nauk o Zwierzętach,Uniwersytet Przyrodniczy w Poznaniu,18,1,6%,798 200 zł,"116,5","6 851,50 zł"
BRAK DANYCH,BRAK DANYCH,"",Narodowy Instytut Zdrowia Publicznego - Państwowy Zakład Higieny (NIZP - PZH),14,4,29%,577 139 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Centrum Badań nad Historią i Kulturą Basenu Morza Śródziemnego i Europy Południowo-Wschodniej im. prof. Waldemara Cerana Ceraneum",Uniwersytet Łódzki,2,1,50%,342 322 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Biznesu i Stosunków Międzynarodowych,Akademia Finansów i Biznesu Vistula,4,1,25%,262 560 zł,"24,25","10 827,22 zł"
BRAK DANYCH,BRAK DANYCH,"","Instytut Biotechnologii Przemysłu Rolno-Spożywczego im. prof. Wacława Dąbrowskiego",14,1,7%,257 800 zł,"69,2","3 725,43 zł"
BRAK DANYCH,BRAK DANYCH,Instytut Kultury Europejskiej,Uniwersytet im. Adama Mickiewicza w Poznaniu,12,1,8%,190 800 zł,28,"6 814,29 zł"
BRAK DANYCH,BRAK DANYCH,Interdyscyplinarne Centrum Nowoczesnych Technologii,Uniwersytet Mikołaja Kopernika w Toruniu,4,1,25%,149 642 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Collegium da Vinci,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Collegium Mazovia Innowacyjna Szkoła Wyższa,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Ewangelikalna Wyższa Szkoła Teologiczna,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Górnośląska Wyższa Szkoła Handlowa im. W. Korfantego w Katowicach,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Krakowska Wyższa Szkoła Promocji Zdrowia,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Uczelnia Warszawska im. Marii Skłodowskiej-Curie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Europejska im. ks. Józefa Tischnera,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Oficerska Wojsk Lądowych im. Generała Tadeusza Kościuszki we Wrocławiu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Promocji, Mediów i Show Businessu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Zachodniopomorska Szkoła Biznesu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Biblioteka Główna,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Badań Ilościowych nad Polityką,Uniwersytet Jagielloński,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Biotechnologii,Politechnika Śląska,9,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Medycyny Doświadczalnej,Śląski Uniwersytet Medyczny w Katowicach,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Zaawansowanych Technologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Collegium Polonicum w Słubicach,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Europejski Wydział Sztuk,Akademia Finansów i Biznesu Vistula,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Filia w Piotrkowie Trybunalskim,Uniwersytet Jana Kochanowskiego w Kielcach,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Przyrodniczo-Techniczny,Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Społeczno-Prawny,Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Wzornictwa,Politechnika Koszalińska,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Międzynarodowe Centrum Dialogu Międzykulturowego i Międzyreligijnego",Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Muzeum,Uniwersytet Jagielloński,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Studium Medycyny Molekularnej,Warszawski Uniwersytet Medyczny,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Studium Nauk Humanistycznych i Społecznych,Politechnika Wrocławska,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Uniwersyteckie Centrum Zdalnego Nauczania i Kursów Otwartych",Uniwersytet Marii Curie-Skłodowskiej w Lublinie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Wydział Budownictwa, Mechaniki i Petrochemii (Filia w Płocku)",Politechnika Warszawska,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Ekonomicznych i Technicznych,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Humanistycznych,Wyższa Szkoła Humanitas,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk o Zdrowiu i Nauk Społecznych,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Społecznych,Dolnośląska Wyższa Szkoła Przedsiębiorczości i Techniki w Polkowicach,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Społecznych,Europejska Uczelnia Społeczno-Techniczna w Radomiu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Technicznych i Ekonomicznych,Państwowa Wyższa Szkoła Zawodowa im. Witelona w Legnicy,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Politechniczny,"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Prawa,Europejska Wyższa Szkoła Prawa i Administracji w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
