GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1FB,B,Wydział Filologiczny,Uniwersytet Szczeciński,11,1,9%,119 340 zł,"110,5","1 080,00 zł"
HS1FB,B,Wydział Humanistyczny,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,31,2,6%,299 880 zł,327,"917,06 zł"
HS1FB,A,Wydział Filologiczny,Uniwersytet Śląski w Katowicach,22,2,9%,296 085 zł,383,"773,07 zł"
HS1FB,B,Instytut Anglistyki,Społeczna Akademia Nauk,1,0,0%,0 zł,52,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Łódzki,21,0,0%,0 zł,"298,33","0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Opolski,3,0,0%,0 zł,107,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Rzeszowski,5,0,0%,0 zł,92,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet w Białymstoku,8,0,0%,0 zł,99,"0,00 zł"
HS1FB,B,Wydział Humanistyczno-Społeczny,Akademia Techniczno-Humanistyczna  w Bielsku-Białej,1,0,0%,0 zł,67,"0,00 zł"
HS1FB,B,Wydział Humanistyczny,Uniwersytet Warmińsko-Mazurski w Olsztynie,5,0,0%,0 zł,168,"0,00 zł"
HS1FB,B,Wydział Neofilologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,20,0,0%,0 zł,259,"0,00 zł"
HS1FB,A,Wydział Orientalistyczny,Uniwersytet Warszawski,16,0,0%,0 zł,69,"0,00 zł"
HS1FB,A,Wydział Filologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,15,1,7%,110 137 zł,BRAK DANYCH,BRAK DANYCH
HS1FT,A,Wydział Filozofii Chrześcijańskiej,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,15,5,33%,1 863 788 zł,86,"21 671,95 zł"
HS1FT,A,Wydział Filozofii,Katolicki Uniwersytet Lubelski Jana Pawła II,17,3,18%,802 363 zł,"73,75","10 879,50 zł"
HS1FT,A,Wydział Filozoficzny,Uniwersytet Papieski Jana Pawła II w Krakowie,7,1,14%,249 600 zł,26,"9 600,00 zł"
HS1FT,A,Wydział Teologii,Katolicki Uniwersytet Lubelski Jana Pawła II,7,2,29%,296 750 zł,139,"2 134,89 zł"
HS1FT,B,Wydział Filozoficzny,Akademia Ignatianum w Krakowie,2,0,0%,0 zł,68,"0,00 zł"
HS1FT,B,Wydział Teologiczny,Chrześcijańska Akademia Teologiczna w Warszawie,2,0,0%,0 zł,"19,25","0,00 zł"
HS1FT,A,Wydział Teologiczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,0,0%,0 zł,"52,5","0,00 zł"
HS1FT,A,Wydział Teologiczny,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,7,0,0%,0 zł,"89,5","0,00 zł"
HS1FT,B,Wydział Teologiczny,Uniwersytet Opolski,3,0,0%,0 zł,43,"0,00 zł"
HS1FT,B,Wydział Teologiczny,Uniwersytet Papieski Jana Pawła II w Krakowie,6,0,0%,0 zł,49,"0,00 zł"
HS1FT,A,Wydział Teologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,4,0,0%,0 zł,40,"0,00 zł"
HS1FT,A+,Wydział Humanistyczny,Uniwersytet Mikołaja Kopernika w Toruniu,12,1,8%,395 625 zł,BRAK DANYCH,BRAK DANYCH
HS1HS,A,"Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej",Uniwersytet Warszawski,5,2,40%,751 300 zł,5,"150 260,00 zł"
HS1HS,B,"Centrum Archeologii Śródziemnomorskiej im. prof. KazimierzaMichałowskiego",Uniwersytet Warszawski,6,2,33%,2 121 134 zł,"18,5","114 655,89 zł"
HS1HS,A,Wydział Historyczny,Uniwersytet Jagielloński,51,18,35%,8 719 518 zł,182,"47 909,44 zł"
HS1HS,A+,Wydział Historyczny,Uniwersytet Warszawski,82,16,20%,6 984 443 zł,"247,88","28 176,71 zł"
HS1HS,A+,Wydział Nauk Historycznych i Pedagogicznych,Uniwersytet Wrocławski,54,11,20%,6 189 808 zł,"246,5","25 110,78 zł"
HS1HS,A+,Wydział Historyczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,52,13,25%,3 614 388 zł,"209,6","17 244,22 zł"
HS1HS,B,Wydział Filozoficzno-Historyczny,Uniwersytet Łódzki,19,3,16%,791 127 zł,"124,5","6 354,43 zł"
HS1HS,B,Wydział Socjologiczno-Historyczny,Uniwersytet Rzeszowski,12,2,17%,676 190 zł,"123,5","5 475,22 zł"
HS1HS,B,Wydział Humanistyczny,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,21,2,10%,469 800 zł,130,"3 613,85 zł"
HS1HS,A,Wydział Historyczny,Uniwersytet Gdański,17,2,12%,238 900 zł,78,"3 062,82 zł"
HS1HS,B,Wydział Humanistyczny,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,7,1,14%,256 360 zł,156,"1 643,33 zł"
HS1HS,B,Wydział Humanistyczny,Uniwersytet Szczeciński,17,1,6%,195 800 zł,182,"1 075,82 zł"
HS1HS,B,Wydział Humanistyczny,Uniwersytet Zielonogórski,12,1,8%,54 600 zł,139,"392,81 zł"
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia im. Jana Długosza w Częstochowie,10,0,0%,0 zł,103,"0,00 zł"
