"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina","szer.geog","dl.geog","adres","miasto"
"HS1EK","A","Wydział Zarządzania","Społeczna Akademia Nauk",1,0,0,0,131,0,"HS",51.3724882,19.348854,"Czapliniecka 96, Belchat�w, Poland"," Belchat�w"
"HS1EK","B","Wydział Nauk Ekonomicznych i Prawnych","Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach",4,0,0,0,50,0,"HS",52.1696131,22.2842796,"Stanislawa Konarskiego 2, 08-110 Siedlce, Poland"," Siedlce"
"HS1EK","A","Wydział Zarządzania, Informatyki i Nauk Społecznych","Wyższa Szkoła Biznesu w Dąbrowie Górniczej",2,0,0,0,62,0,"HS",50.326408,19.191706,"Zygmunta Cieplaka 1c, 41-300 Dabrowa G�rnicza, Poland"," Dabrowa G�rnicza"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uczelnia Łazarskiego",2,0,0,0,40,0,"HS",52.1776819,21.015687,"Swieradowska 43, 02-662 Warszawa, Poland"," Warszawa"
"HS1EK","B","","Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De 
Gasperi w Józefowie",2,0,0,0,52,0,"HS",52.1441145,21.2152032,"Henryka Sienkiewicza 4, 05-410 J�zef�w, Poland"," J�zef�w"
"HS1EK","B","Kolegium Nauk Ekonomicznych i Społecznych","Politechnika Warszawska",1,0,0,0,11,0,"HS",52.2212012,21.0080857,"plac Politechniki 1, 00-661 Warszawa, Poland"," Warszawa"
"HS1EK","B","Instytut Zarządzania Ryzykiem","Akademia Finansów i Biznesu Vistula",7,3,0.428571428571429,861395,NA,NA,"HS",52.1589318,21.0344789,"Stoklosy 3, Warszawa, Poland"," Warszawa"
"HS1EK","B","Wydział Zarządzania i Informatyki","Akademia Techniczno-Humanistyczna w Bielsku-Białej",4,0,0,0,NA,NA,"HS",49.7841414,19.0577026,"Willowa 2, Bielsko-Biala, Poland"," Bielsko-Biala"
"HS1EK","B","","Szkoła Wyższa im. Bogdana Jańskiego",2,0,0,0,NA,NA,"HS",53.4366124,14.5625228,"Zubr�w 3, 71-617 Szczecin, Poland"," Szczecin"
"HS1EK","B","Wydział Menedżerski","Wyższa Szkoła Menedżerska w Warszawie",1,1,1,302025,NA,NA,"HS",52.2575647,21.0581563,"Kaweczynska 36, 03-772 Warszawa, Poland"," Warszawa"
