"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina"
"HS1HS","A","Ośrodek Badań nad Antykiem Europy Południowo-
Wschodniej","Uniwersytet Warszawski",2,0,0,0,6.5,0,"HS"
"HS1HS","A","Wydział Historyczny","Uniwersytet Gdański",9,0,0,0,82,0,"HS"
"HS1HS","B","Filia w Piotrkowie Trybunalskim Wydział Filologiczno-
Historyczny","Uniwersytet Jana Kochanowskiego w Kielcach",2,0,0,0,49,0,"HS"
"HS1HS","B","Wydział Filologiczno-Historyczny","Akademia Pomorska w Słupsku",6,0,0,0,96,0,"HS"
"HS2HS","B","","Instytut Kultur Śródziemnomorskich i Orientalnych PAN",14,5,0.357142857142857,458153,24.35,18815.318275154,"HS"
"HS2HS","A+","","Instytut Historii im. Tadeusza Manteuffla PAN",27,6,0.222222222222222,1397498,113.75,12285.6967032967,"HS"
"HS2HS","A","","Instytut Archeologii i Etnologii PAN",27,6,0.222222222222222,1405210,127.4,11029.9058084772,"HS"
"HS2HS","A+","","Instytut Sztuki PAN",8,3,0.375,349860,57.5,6084.52173913043,"HS"
"HS2HS","A","","Instytut Historii Nauki im. Ludwika i Aleksandra 
Birkenmajerów PAN",4,0,0,0,33,0,"HS"
"HS3HS","B","","Instytut Europy Środkowo-Wschodniej",1,1,1,1510000,7,215714.285714286,"HS"
"HS3HS","B","","Państwowy Instytut Naukowy - Instytut Śląski w Opolu",3,1,0.333333333333333,553200,18,30733.3333333333,"HS"
"HS3HS","A","","Instytut Zachodni - Instytut Naukowo-Badawczy im. 
Zygmunta Wojciechowskiego",5,1,0.2,88700,18,4927.77777777778,"HS"
"HS1PR","B","Wydział Prawa i Nauk Społecznych","Uniwersytet SWPS",3,2,0.666666666666667,1587981,21,75618.1428571429,"HS"
"HS1PR","B","Wydział Prawa, Administracji i Ekonomii","Uniwersytet Wrocławski",30,9,0.3,3301311,206,16025.7815533981,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Kardynała Stefana Wyszyńskiego w 
Warszawie",16,5,0.3125,1357395,99,13711.0606060606,"HS"
"HS1PR","A+","Wydział Prawa i Administracji","Uniwersytet Jagielloński",44,14,0.318181818181818,1976226,188.33,10493.4211224977,"HS"
"HS1PR","A","Wydział Prawa i Administracji","Uniwersytet im. Adama Mickiewicza w Poznaniu",26,8,0.307692307692308,1025312,121.3,8452.69579554823,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Łódzki",12,7,0.583333333333333,811200,171.41,4732.51268887463,"HS"
"HS1PR","A","Wydział Prawa i Administracji","Uniwersytet Gdański",8,2,0.25,429900,119,3612.60504201681,"HS"
"HS1PR","A","Wydział Prawa i Administracji","Uniwersytet Warszawski",15,3,0.2,552034,162,3407.61728395062,"HS"
"HS1PR","B","Wydział Prawa, Administracji i Stosunków 
Międzynarodowych","Krakowska Akademia im. Andrzeja Frycza 
Modrzewskiego",6,1,0.166666666666667,177875,76,2340.46052631579,"HS"
"HS1PR","A","Wydział Prawa i Administracji","Uniwersytet Śląski w Katowicach",4,1,0.25,186160,102.5,1816.19512195122,"HS"
"HS1PR","B","Wydział Prawa, Prawa Kanonicznego i Administracji","Katolicki Uniwersytet Lubelski Jana Pawła II",10,1,0.1,239672,135,1775.34814814815,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Warmińsko-Mazurski w Olsztynie",7,1,0.142857142857143,100620,143,703.636363636364,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Opolski",3,0,0,0,46,0,"HS"
"HS1PR","B","Wydział Prawa Kanonicznego","Uniwersytet Kardynała Stefana Wyszyńskiego w 
Warszawie",1,0,0,0,25,0,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Marii Curie-Skłodowskiej",4,0,0,0,132,0,"HS"
"HS1PR","A","Wydział Prawa","Uniwersytet w Białymstoku",12,0,0,0,105,0,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uczelnia Łazarskiego",2,0,0,0,39.5,0,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Wyższa Szkoła Finansów i Zarządzania w Warszawie",3,0,0,0,16,0,"HS"
"HS1PR","B","Wydział Zamiejscowy Nauk Prawnych i Ekonomicznych 
w Tomaszowie Lubelskim","Katolicki Uniwersytet Lubelski Jana Pawła II",1,0,0,0,37,0,"HS"
